text,label
Kachra wala nahi aaya teen din se. Support needed.,garbage
Potholes on the main highway are causing accidents. Support needed.,road
Help! Dead animal rotting near the garbage dump..,garbage
Please resolve this: Bhai society ke bahar pura kachra pada hai..,garbage
I am facing issues with Pipe leak hone ki wajah se pani waste ho raha hai..,water
Please resolve this: Router is getting a red light..,internet
Help! Dead animal rotting near the garbage dump..,garbage
This is a complaint regarding Repeated disconnections every 5 minutes!!!!!!,internet
I am facing issues with Sweeper is not cleaning the street properly..,garbage
Road pe bahut zyada kachra aur patthar hain. Support needed.,road
Please clear the municipal dustbin.,garbage
Wire sparking at the junction box!!! Support needed!!!,electricity
I am facing issues with Safai karamchari is absent everyday!!!!!!,garbage
Pani nahi aa raha hai.,water
I am facing issues with There is a loose wire hanging from the pole outside my house..,electricity
Urgent: Sweeper is not cleaning the street properly..,garbage
Help! Trash bins are overflowing in the park..,garbage
Frequent power trips during the night. Support needed.,electricity
Sweeper is not cleaning the street properly. Support needed.,garbage
Drainage is overflowing onto the street. yaar.,water
Internet connection is completely dead.,internet
Please resolve this: WiFi signal is very weak..,internet
I am facing issues with Asphalt is melting during the day..,road
Help! Pipe leak hone ki wajah se pani waste ho raha hai..,water
Urgent: Safai karamchari is absent everyday..,garbage
No speed breakers near the school zone. Support needed.,road
This is a complaint regarding No speed breakers near the school zone!!!!!!,road
Pipe leak hone ki wajah se pani waste ho raha hai.,water
Urgent: Illegal dumping site created overnight..,garbage
urgent: fiber cable cut by municipal workers..,internet
This is a complaint regarding Wire sparking at the junction box..,electricity
This is a complaint regarding Manhole cover is missing on the street..,road
Foul smell from the uncollected garbage pile.,garbage
"Bhai pani ki tanki khali ho gayi, supply kab chalu hogi? yaar.",water
power went out in my entire neighborhood 2 hours ago!!! support needed!!!,electricity
Help! Frequent power trips during the night..,electricity
Traffic signal is not working at the intersection.,road
People are dumping waste in the empty plot.,garbage
Dustbins are broken and spilling over. Support needed.,garbage
Fiber cable cut by municipal workers.,internet
Lineman is not responding to broadband repair request.,internet
Garbage truck has not visited our lane for a week.,garbage
Road ka kaam kab pura hoga? Support needed.,road
"Bhai pani ki tanki khali ho gayi, supply kab chalu hogi?",water
help! please restore electricity asap..,electricity
I am facing issues with Safai karamchari is absent everyday..,garbage
Urgent: People are dumping waste in the empty plot..,garbage
power went out in my entire neighborhood 2 hours ago. yaar.,electricity
Please clear the municipal dustbin. Support needed.,garbage
Help! No municipal water for 3 days..,water
Data balance wrongly deducted.,internet
Urgent: Pipe leak hone ki wajah se pani waste ho raha hai..,water
Please resolve this: Repeated disconnections every 5 minutes..,internet
I am facing issues with Garbage truck has not visited our lane for a week..,garbage
Urgent: Drainage is overflowing onto the street..,water
"Power cut since morning, please fix. yaar.",electricity
Dead animal rotting near the garbage dump. yaar.,garbage
Water bill is incorrect.,water
i am facing issues with light nahi aa rahi hai subah se..,electricity
Divider breakdown near the crossing.,road
Trash bins are overflowing in the park. Support needed.,garbage
Heavy traffic jam due to unstructured diversions.,road
My electricity bill is unusually high this month. yaar.,electricity
This is a complaint regarding No segregation of dry and wet waste by collectors..,garbage
Please resolve this: Kachra wala nahi aaya teen din se..,garbage
Ping is too high for gaming.,internet
People are dumping waste in the empty plot. Support needed.,garbage
Internet connection is completely dead. Support needed.,internet
Please resolve this: People are dumping waste in the empty plot..,garbage
please resolve this: kachra jama ho gaya hai kone mein..,garbage
"I am facing issues with Bhai pani ki tanki khali ho gayi, supply kab chalu hogi?.",water
Help! Fiber cable cut by municipal workers..,internet
Help! Unable to connect to the broadband network..,internet
Wifi slow hai bro.,internet
People are dumping waste in the empty plot. Support needed.,garbage
i am facing issues with people are dumping waste in the empty plot..,garbage
Accident prone area needs immediate repair. yaar.,road
I am facing issues with Trash bins are overflowing in the park!!!!!!,garbage
Please restore electricity ASAP.,electricity
Drainage is overflowing onto the street.,water
This is a complaint regarding Street is completely flooded after minor rain..,road
This is a complaint regarding Manhole cover is missing on the street..,road
Help! Light nahi aa rahi hai subah se!!!!!!,electricity
this is a complaint regarding pani nahi aa raha hai!!!!!!,water
Help! Please send a water tanker immediately..,water
Illegal dumping site created overnight. yaar.,garbage
Kachra jama ho gaya hai kone mein.,garbage
Help! Frequent power trips during the night..,electricity
dustbins are broken and spilling over. yaar.,garbage
"i am facing issues with power cut since morning, please fix..",electricity
Router is getting a red light. Support needed.,internet
Help! Drainage is overflowing onto the street..,water
I am facing issues with Heavy traffic jam due to unstructured diversions..,road
Urgent: Ping is too high for gaming..,internet
accident prone area needs immediate repair. yaar.,road
WiFi signal is very weak.,internet
This is a complaint regarding Illegal dumping site created overnight..,garbage
Cleaning staff asking for extra money.,garbage
Urgent: Voltage fluctuations are damaging my appliances..,electricity
"Help! Meter is faulty, showing erratic readings..",electricity
Urgent: Lineman is not responding to broadband repair request..,internet
Light nahi aa rahi hai subah se.,electricity
this is a complaint regarding garbage truck has not visited our lane for a week..,garbage
Please resolve this: Water meter reading is faulty..,water
urgent: latency issues during video calls..,internet
Help! No segregation of dry and wet waste by collectors..,garbage
My electricity bill is unusually high this month.,electricity
I am facing issues with Voltage fluctuations are damaging my appliances..,electricity
No municipal water for 3 days.,water
i am facing issues with illegal dumping site created overnight..,garbage
Accident prone area needs immediate repair.,road
Water pressure is extremely low.,water
urgent: please restore electricity asap..,electricity
Manhole cover is missing on the street.,road
Internet down ho gaya hai wapas.,internet
This is a complaint regarding WiFi signal is very weak..,internet
Urgent: Road construction abandoned halfway!!!!!!,road
Road ka kaam kab pura hoga?,road
This is a complaint regarding Bhai net kab theek hoga? Work from home hai..,internet
Pipes are leaking on the main road.,water
I am facing issues with Latency issues during video calls..,internet
Help! Latency issues during video calls..,internet
Urgent: No speed breakers near the school zone..,road
bhai net kab theek hoga? work from home hai. support needed.,internet
dustbins are broken and spilling over. support needed.,garbage
This is a complaint regarding Voltage fluctuations are damaging my appliances..,electricity
Bhai light kab aayegi? Bahut garmi hai. yaar.,electricity
No speed breakers near the school zone!!! Support needed!!!,road
Urgent: Please clear the municipal dustbin..,garbage
Help! No municipal water for 3 days!!!!!!,water
I am facing issues with Router is getting a red light..,internet
Gadde hi gadde hain road par.,road
Please restore electricity ASAP. yaar.,electricity
Water meter reading is faulty.,water
"this is a complaint regarding power cut since morning, please fix..",electricity
Tap water smells terrible today.,water
Please resolve this: Dustbins are broken and spilling over..,garbage
street lights are not working in sector 4. yaar.,electricity
This is a complaint regarding Power went out in my entire neighborhood 2 hours ago..,electricity
urgent: pani nahi aa raha hai..,water
There is a loose wire hanging from the pole outside my house. Support needed.,electricity
trash bins are overflowing in the park. yaar.,garbage
Water meter reading is faulty. yaar.,water
Please resolve this: People are dumping waste in the empty plot..,garbage
Please resolve this: Net nahi chal raha subah se..,internet
Asphalt is melting during the day.,road
Please resolve this: Wire sparking at the junction box..,electricity
Bhai light kab aayegi? Bahut garmi hai. Support needed.,electricity
Speed is 2 Mbps instead of 100 Mbps.,internet
This is a complaint regarding Road pe bahut zyada kachra aur patthar hain..,road
Help! Manhole cover is missing on the street!!!!!!,road
Urgent: Light nahi aa rahi hai subah se..,electricity
No power supply in our building.,electricity
I am facing issues with Road construction abandoned halfway..,road
Urgent: Transformer blew up on main street..,electricity
Wire sparking at the junction box.,electricity
My electricity bill is unusually high this month. Support needed.,electricity
Urgent: Kachra wala nahi aaya teen din se..,garbage
Help! Pani nahi aa raha hai..,water
Urgent: Street lights are not working in sector 4..,electricity
Help! Water bill is incorrect..,water
No drinking water supply since yesterday. yaar.,water
Urgent: Road pe bahut zyada kachra aur patthar hain!!!!!!,road
Trash bins are overflowing in the park.,garbage
No drinking water supply since yesterday.,water
urgent: road ka kaam kab pura hoga?.,road
Dustbins are broken and spilling over.,garbage
Yellow dirty water is coming from the tap!!! Support needed!!!,water
Kachra jama ho gaya hai kone mein. yaar.,garbage
"help! bhai pani ki tanki khali ho gayi, supply kab chalu hogi?.",water
There is a loose wire hanging from the pole outside my house. yaar.,electricity
Help! Potholes on the main highway are causing accidents!!!!!!,road
Help! There is a loose wire hanging from the pole outside my house..,electricity
Current chala gaya aur abhi tak nahi aaya.,electricity
This is a complaint regarding Potholes on the main highway are causing accidents!!!!!!,road
Voltage fluctuations are damaging my appliances.,electricity
i am facing issues with garbage truck has not visited our lane for a week..,garbage
Repeated disconnections every 5 minutes. yaar.,internet
I am facing issues with Power went out in my entire neighborhood 2 hours ago..,electricity
Urgent: Bhai road condition is pathetic!!!!!!,road
I am facing issues with No speed breakers near the school zone..,road
This is a complaint regarding Divider breakdown near the crossing..,road
Safai karamchari is absent everyday. Support needed.,garbage
this is a complaint regarding manhole cover is missing on the street..,road
This is a complaint regarding Heavy traffic jam due to unstructured diversions..,road
Street is completely flooded after minor rain!!! yaar!!!,road
Bhai society ke bahar pura kachra pada hai.,garbage
This is a complaint regarding No segregation of dry and wet waste by collectors..,garbage
This is a complaint regarding Safai karamchari is absent everyday..,garbage
Yellow dirty water is coming from the tap. Support needed.,water
Potholes on the main highway are causing accidents.,road
i am facing issues with divider breakdown near the crossing..,road
I am facing issues with Water meter reading is faulty..,water
help! speed is 2 mbps instead of 100 mbps..,internet
Yellow dirty water is coming from the tap.,water
urgent: drainage is overflowing onto the street!!!!!!,water
Urgent: Ganda pani aa raha hai nalo mein..,water
Dustbins are broken and spilling over. Support needed.,garbage
wire sparking at the junction box. yaar.,electricity
please resolve this: wire sparking at the junction box..,electricity
Sidewalks are broken and inaccessible.,road
Frequent power trips during the night.,electricity
Urgent: Asphalt is melting during the day..,road
Urgent: Unable to connect to the broadband network..,internet
There is a loose wire hanging from the pole outside my house.,electricity
This is a complaint regarding Water bill is incorrect!!!!!!,water
Please resolve this: Router is getting a red light..,internet
Please resolve this: Kachra jama ho gaya hai kone mein..,garbage
People are dumping waste in the empty plot. yaar.,garbage
I am facing issues with Data balance wrongly deducted..,internet
This is a complaint regarding Sewage water mixed with drinking water supply..,water
Illegal dumping site created overnight. Support needed.,garbage
Kachra jama ho gaya hai kone mein. yaar.,garbage
Trash bins are overflowing in the park. yaar.,garbage
Please resolve this: Sewage water mixed with drinking water supply..,water
please resolve this: internet down ho gaya hai wapas..,internet
Urgent: WiFi signal is very weak..,internet
please resolve this: wifi signal is very weak..,internet
Please resolve this: Accident prone area needs immediate repair..,road
Ganda pani aa raha hai nalo mein.,water
Bhai road condition is pathetic.,road
Sewage water mixed with drinking water supply.,water
this is a complaint regarding no speed breakers near the school zone..,road
This is a complaint regarding Net nahi chal raha subah se..,internet
Repeated disconnections every 5 minutes.,internet
Bhai light kab aayegi? Bahut garmi hai.,electricity
Unable to connect to the broadband network.,internet
Cleaning staff asking for extra money. yaar.,garbage
I am facing issues with Internet down ho gaya hai wapas..,internet
Road ka kaam kab pura hoga? Support needed.,road
I am facing issues with Bhai light kab aayegi? Bahut garmi hai!!!!!!,electricity
Tap water smells terrible today!!! Support needed!!!,water
I am facing issues with Internet connection is completely dead..,internet
Please resolve this: Current chala gaya aur abhi tak nahi aaya..,electricity
Please resolve this: Kachra jama ho gaya hai kone mein..,garbage
"I am facing issues with Bhai pani ki tanki khali ho gayi, supply kab chalu hogi?.",water
Help! No power supply in our building..,electricity
Please resolve this: Internet down ho gaya hai wapas..,internet
Sweeper is not cleaning the street properly.,garbage
gadde hi gadde hain road par. yaar.,road
Pipe leak hone ki wajah se pani waste ho raha hai. yaar.,water
"Power cut since morning, please fix.",electricity
Bhai net kab theek hoga? Work from home hai.,internet
Help! Street lights are not working in sector 4!!!!!!,electricity
Latency issues during video calls.,internet
this is a complaint regarding no drinking water supply since yesterday..,water
Street lights are not working in sector 4.,electricity
Please send a water tanker immediately.,water
Please resolve this: Bhai road condition is pathetic..,road
Street is completely flooded after minor rain.,road
Water meter reading is faulty. yaar.,water
This is a complaint regarding No municipal water for 3 days..,water
Router is getting a red light.,internet
Potholes on the main highway are causing accidents!!! Support needed!!!,road
This is a complaint regarding Unable to connect to the broadband network..,internet
Urgent: Foul smell from the uncollected garbage pile..,garbage
Transformer blew up on main street.,electricity
Help! Sidewalks are broken and inaccessible..,road
i am facing issues with internet connection is completely dead..,internet
Road pe bahut zyada kachra aur patthar hain.,road
"Meter is faulty, showing erratic readings.",electricity
this is a complaint regarding drainage is overflowing onto the street..,water
Dead animal rotting near the garbage dump.,garbage
Kachra wala nahi aaya teen din se.,garbage
Illegal dumping site created overnight.,garbage
Net nahi chal raha subah se.,internet
Road construction abandoned halfway.,road
Urgent: Frequent power trips during the night..,electricity
Power went out in my entire neighborhood 2 hours ago.,electricity
No segregation of dry and wet waste by collectors.,garbage
Safai karamchari is absent everyday.,garbage
No speed breakers near the school zone.,road
This is a complaint regarding Sweeper is not cleaning the street properly..,garbage
Help! Asphalt is melting during the day..,road
I am facing issues with Internet connection is completely dead..,internet
